"uuid","repository link","title","author","contributor","publication year","abstract","subject topic","language","publication type","publisher","isbn","issn","patent","patent status","bibliographic note","access restriction","embargo date","faculty","department","research group","programme","project","coordinates"
"uuid:beb45426-5eed-4cab-bf57-91b06424b0f3","http://resolver.tudelft.nl/uuid:beb45426-5eed-4cab-bf57-91b06424b0f3","Electrochemical Characterization of Cobalt-Chromium-Molybdenum Alloy Hip Implants in Simulated Physiological Solutions","Levi, N.","Sietsma, J. (mentor); Hermans, M.J.M. (mentor); Janssen, M. (mentor)","2001","","","en","master thesis","","","","","","","","","Applied Sciences","Technische Materiaalwetenschappen","","","",""
"uuid:b31f0760-5953-4790-b542-ba88f643a5ea","http://resolver.tudelft.nl/uuid:b31f0760-5953-4790-b542-ba88f643a5ea","Simulation of Dopant lmplantation Techniques to lnvestigate the Process Sensitivity of Electrical Device Behaviour","Chung, T.M.","Thijsse, B.J. (mentor); Crans, W. (mentor); Eijsenga, W. (mentor); Swanenberg, M. (mentor)","2001","","","en","master thesis","","","","","","","","","Applied Sciences","Technische Materiaalwetenschappen","","","",""
"uuid:8b98eff7-4689-4a37-a332-77cd4c15f871","http://resolver.tudelft.nl/uuid:8b98eff7-4689-4a37-a332-77cd4c15f871","Een plek binnen een stroom","Oosterlaan, M.W.J.","Chlimintzas, E. (mentor)","2001","","","nl","master thesis","","","","","","","","","Architecture","","","","",""
"uuid:9a06440e-00cf-4aa3-b442-6084b0cc5b74","http://resolver.tudelft.nl/uuid:9a06440e-00cf-4aa3-b442-6084b0cc5b74","STIP, een innovatieve stationslocatiekeuze strategie: Op basis van het aantal in- & uitstappers met behulp van postcodegebieden toegepast op de Randstad","Kruip, R.V.A.","Sanders, F.M. (mentor); De Boer, E. (mentor); Nijenhuis, R.G.A. (mentor); Van der Spek, S.C. (mentor); Van Eck, P. (mentor)","2001","","","nl","master thesis","","","","","","","","","Civil Engineering and Geosciences","Transport & Planning","","","",""
"uuid:f599bcda-f1d7-4647-94b9-e52ad967ba47","http://resolver.tudelft.nl/uuid:f599bcda-f1d7-4647-94b9-e52ad967ba47","Porositeit in breuksteenconstructies","Bosma, C.","d'Angremond, K. (mentor); Fontijn, H.L. (mentor); Van Gelder, P.H.A.J.M. (mentor); Sint Nicolaas, W. (mentor); Verhagen, H.J. (mentor)","2001","In de praktijk worden na afloop van de bouw van waterbouwkundige constructies aanzienlijke verschillen geconstateerd tussen de hoeveelheid steenmateriaal die wordt geplaatst en de hoeveelheid die volgens het ontwerp zou moeten worden geplaatst. Gebrek aan kwantitatief inzicht in de van belang zijnde factoren leidt ertoe dat geconstateerde afwijkingen in de hoeveelheid geplaatst steenmateriaal niet kunnen worden verklaard. Uit eerder onderzoek hiernaar is gebleken dat de gehele problematiek wat betreft de hoeveelheid steenmateriaal in twee delen kan worden opgesplitst: onderzoek naar de bulkeigenschappen (werkelijke porositeit en laagdikte bepaald zonder invloed van randen afhankelijk van steen- en productie eigenschappen) en onderzoek naar de randinvloeden van het steenmateriaal (penetratie in onderliggende laag, surveymethode, porositeitsverloop in randen van breuksteenlagen, etc. wat leidt tot de schijnbare porositeit ofwel gemiddelde porositeit over de gemeten laagdikte). In dit rapport is onderzoek verricht naar randinvloeden van breuksteenlagen. Er is onderzocht wat de invloed is van de surveymethode, penetratie in onderliggende lagen en het verloop van porositeit in randen van breuksteenlagen","","nl","master thesis","TU Delft, Faculty of Civil Engineering and Geosciences, Hydraulic Engineering","","","","","","","","Civil Engineering and Geosciences","","","","",""
"uuid:2981f4b1-76f9-4b01-bd70-2d85b988720a","http://resolver.tudelft.nl/uuid:2981f4b1-76f9-4b01-bd70-2d85b988720a","Het Netwerkpark: Wonen, werken en recreëeren in de netwerkeconomie","Jager, A.","Mijk, M. (mentor); Van der Hoeven, K. (mentor); Engels, J. (mentor)","2001","","","nl","master thesis","","","","","","","","","Architecture","","","","",""
"uuid:9c302fab-70f8-4aed-8112-3464b0e61203","http://resolver.tudelft.nl/uuid:9c302fab-70f8-4aed-8112-3464b0e61203","The rear slope stability of rubble mound breakwaters","Van Dijk, B.","Vrijling, J.K. (mentor); Verhagen, H.J. (mentor); Fontijn, H.L. (mentor); Van Gent, M.A. (mentor)","2001","","","en","master thesis","TU Delft, Faculty of Civil Engineering and Geosciences, Hydraulic Engineering","","","","","","","","Civil Engineering and Geosciences","","","","",""
"uuid:1c04a740-0173-48e5-9479-1f95590bae44","http://resolver.tudelft.nl/uuid:1c04a740-0173-48e5-9479-1f95590bae44","Masterplan Tallinn","Beurze, A.C.","Ligteringen, H. (mentor); Groenveld, R. (mentor); Groenveld, R. (mentor); Meijer, S.F. (mentor)","2001","","","nl","master thesis","TU Delft, Faculty of Civil Engineering and Geosciences, Hydraulic Engineering","","","","","","","","Civil Engineering and Geosciences","","","","",""
"uuid:56d6ec4e-b858-4982-86ab-da3ed6d140ae","http://resolver.tudelft.nl/uuid:56d6ec4e-b858-4982-86ab-da3ed6d140ae","Tropical Cyclone-induced Storm Surges","Capel, A.","Stelling, G.S. (mentor); Battjes, J.A. (mentor); Gerritsen, H. (mentor); Roelvink, J.A. (mentor)","2001","","","en","master thesis","TU Delft, Faculty of Civil Engineering and Geosciences, Hydraulic Engineering","","","","","","","","Civil Engineering and Geosciences","","","","",""
"uuid:15748e17-7bd0-45fe-8bfe-8a65a417787a","http://resolver.tudelft.nl/uuid:15748e17-7bd0-45fe-8bfe-8a65a417787a","PIV measurements and numerical simulations of laminar flows in a kenics static mixer","Dorsman, R.","Mudde, R.F. (mentor); Van Wageningen, N. (mentor)","2001","The Kenics static mixer is investigated both experimentally and numerically in the range of Reynolds 10 - 1000. A setup with a two-element static mixer, which differs slightly from the original Kenics geometry, has been designed and built. The mixing section is made optically accessible by using a glass measurement section, including glass mixing elements, and a refractive index matching (RIM) technique. This R IM technique enables PIV measurements which are performed at Reynolds 80 and 433. Numerical simulations of laminar flows in the mixer are carried out by use of the commercial Fluent 5 unstructured solver. A grid-independent solution method is found and applied to a geometry closely resembling the experimental geometry. The results of these simulations, which are time independent solutions, and the experiments differ substantially for Reynolds 80. Several possible reasons for these differences are examined, but the true cause remains unknown. For Reynolds 433, the results compare very well for both flow structures and velocity profiles.","","en","master thesis","","","","","","","","","Applied Sciences","Kramers Laboratorium voor Fysische Technologie","","","",""
"uuid:aa29fb37-eb4d-42f1-8731-a19e83fe1aee","http://resolver.tudelft.nl/uuid:aa29fb37-eb4d-42f1-8731-a19e83fe1aee","SkyShuttle Den Haag: Hoogvlieger of Luchtkasteel? Kwaliteitsanalyse van een automatisch vervoersysteem","Brandt, M.J.","Sanders, F.M. (mentor); Verbraeck, A. (mentor); De Ronde Bresser, N. (mentor); Van Eck, P. (mentor)","2001","","","nl","master thesis","","","","","","","","","Civil Engineering and Geosciences","Transport & Planning","","","",""
